date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner,first_shooter,home_form_pts,away_form_pts,home_venue_type,home_aproveitamento,away_venue_type,away_aproveitamento,rest_days_diff,home_h2h_pts,away_h2h_pts,home_form_gd,away_form_gd,home_pen_win_rate,away_pen_win_rate,tournament_weight
2018-09-06,Dominica,Suriname,0.0,0.0,CONCACAF Nations League qualification,Les Abymes,Guadeloupe,True,No shootout,No shootout,0.0,0.0,Neutro,0.0,Neutro,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5
2018-09-06,Guyana,Barbados,3.0,0.0,CONCACAF Nations League qualification,Leonora,Guyana,False,No shootout,No shootout,0.0,0.0,Casa,0.0,Fora,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5
2018-09-06,Wales,Republic of Ireland,4.0,1.0,UEFA Nations League,Cardiff,Wales,False,No shootout,No shootout,0.0,0.0,Casa,0.0,Fora,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.5
2018-09-06,Czech Republic,Ukraine,1.0,2.0,UEFA Nations League,Uherské Hradiště,Czech Republic,False,No shootout,No shootout,0.0,0.0,Casa,0.0,Fora,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.5
2018-09-06,Norway,Cyprus,2.0,0.0,UEFA Nations League,Oslo,Norway,False,No shootout,No shootout,0.0,0.0,Casa,0.0,Fora,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.5
2018-09-06,Slovenia,Bulgaria,1.0,2.0,UEFA Nations League,Ljubljana,Slovenia,False,No shootout,No shootout,0.0,0.0,Casa,0.0,Fora,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.5
2018-09-06,Germany,France,0.0,0.0,UEFA Nations League,Munich,Germany,False,No shootout,No shootout,0.0,0.0,Casa,0.0,Fora,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.5
2018-09-06,Latvia,Andorra,0.0,0.0,UEFA Nations League,Riga,Latvia,False,No shootout,No shootout,0.0,0.0,Casa,0.0,Fora,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.5
2018-09-06,Armenia,Liechtenstein,2.0,1.0,UEFA Nations League,Yerevan,Armenia,False,No shootout,No shootout,0.0,0.0,Casa,0.0,Fora,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.5
2018-09-06,Gibraltar,North Macedonia,0.0,2.0,UEFA Nations League,Gibraltar,Gibraltar,False,No shootout,No shootout,0.0,0.0,Casa,0.0,Fora,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.5
